q,k,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,10,0,AB,B,6,stage.node_prune,4,5.4653e-05,5.3523e-05,0.004840534188503526
32,10,0,AB,B,6,stage.output_alloc,1,4.825e-06,4.536e-06,0.0004273430087923721
32,10,0,AB,B,6,stage.pivot_distance,2,0.000101332,0.000100745,0.008974823164134435
32,10,0,AB,B,6,stage.pivot_sort,2,0.000198331,0.00019775,0.017565879021098435
32,10,0,AB,B,6,stage.result_sort,1,0.00332565,0.00332543,0.29454782946950303
32,10,0,AB,B,6,stage.schedule,10,0.000124907,0.000122204,0.011062825533518927
32,10,0,AB,B,6,stage.threshold,2,2.0161e-05,1.9602e-05,0.0017856295130078783
32,10,0,AB,B,7,stage.aggregate,1,1.5516e-05,1.5247e-05,0.0013955727352793878
32,10,0,AB,B,7,stage.alloc_init,1,0.002118576,0.002118278,0.19055342248113333
32,10,0,AB,B,7,stage.candidates,1,9.535e-05,9.5068e-05,0.008576170424651305
32,10,0,AB,B,7,stage.cleanup,1,0.003613386,0.003613101,0.3250027702784382
32,10,0,AB,B,7,stage.delivery,1,4.081e-05,4.0526e-05,0.0036706189305717855
32,10,0,AB,B,7,stage.leaf_distance,1,0.001292928,0.001292582,0.11629125196437927
32,10,0,AB,B,7,stage.node_plan,4,0.000101488,0.000100267,0.009128247341971806
32,10,0,AB,B,7,stage.node_prune,4,5.4118e-05,5.2984e-05,0.00486759508171242
32,10,0,AB,B,7,stage.output_alloc,1,4.285e-06,3.994e-06,0.0003854104905047807
32,10,0,AB,B,7,stage.pivot_distance,2,0.000102449,0.000101912,0.009214683627006833
32,10,0,AB,B,7,stage.pivot_sort,2,0.000206364,0.000205725,0.018561225312142025
32,10,0,AB,B,7,stage.result_sort,1,0.003320282,0.003320002,0.2986397932868598
32,10,0,AB,B,7,stage.schedule,10,0.000124081,0.000121322,0.011160354509293745
32,10,0,AB,B,7,stage.threshold,2,2.0262e-05,1.9698e-05,0.0018224474582515442
32,10,1,BA,B,0,stage.aggregate,1,1.613e-05,1.5856e-05,0.0014621157912312573
32,10,1,BA,B,0,stage.alloc_init,1,0.002119469,0.002119131,0.19212083657316317
32,10,1,BA,B,0,stage.candidates,1,9.6906e-05,9.6631e-05,0.008784116110666847
32,10,1,BA,B,0,stage.cleanup,1,0.003517977,0.003517702,0.3188896295653047
32,10,1,BA,B,0,stage.delivery,1,4.4222e-05,4.387e-05,0.004008535928073693
