variant,metric,unit,value
A,l1tex__t_requests_pipe_lsu_mem_global_op_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum,,3699348
A,l1tex__t_requests_pipe_lsu_mem_global_op_st.sum.pct_of_peak_sustained_elapsed,%,0.06
A,l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_local_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_lsu_mem_local_op_st.sum,,0
A,l1tex__t_requests_pipe_lsu_mem_local_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum,,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_atom.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum,,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_ld.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_red.sum,,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_red.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_st.sum,,0
A,l1tex__t_requests_pipe_tex_mem_surface_op_st.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_requests_pipe_tex_mem_texture.sum,,0
A,l1tex__t_requests_pipe_tex_mem_texture.sum.pct_of_peak_sustained_elapsed,%,0
A,l1tex__t_sector_pipe_lsu_mem_global_op_atom_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_lsu_mem_global_op_ld_hit_rate.pct,%,89.30
A,l1tex__t_sector_pipe_lsu_mem_global_op_red_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_lsu_mem_global_op_st_hit_rate.pct,%,0.15
A,l1tex__t_sector_pipe_lsu_mem_local_op_ld_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_lsu_mem_local_op_st_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_tex_mem_surface_op_atom_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_tex_mem_surface_op_ld_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_tex_mem_surface_op_red_hit_rate.pct,%,0
A,l1tex__t_sector_pipe_tex_mem_surface_op_st_hit_rate.pct,%,0
