q,k,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,10,1,BA,B,3,stage.threshold,2,2.0681e-05,2.0099e-05,0.0018896791410526101
32,10,1,BA,B,4,stage.aggregate,1,1.6001e-05,1.5733e-05,0.0014555384004796429
32,10,1,BA,B,4,stage.alloc_init,1,0.002121813,0.002121353,0.1930117055269616
32,10,1,BA,B,4,stage.candidates,1,9.716e-05,9.6873e-05,0.00883820454912831
32,10,1,BA,B,4,stage.cleanup,1,0.001612406,0.001611957,0.14667326105642015
32,10,1,BA,B,4,stage.delivery,1,4.1655e-05,4.1376e-05,0.003789166431596745
32,10,1,BA,B,4,stage.leaf_distance,1,0.004201284,0.004200903,0.3821717513480854
32,10,1,BA,B,4,stage.node_plan,4,9.4954e-05,9.3796e-05,0.008637534734025622
32,10,1,BA,B,4,stage.node_prune,4,5.5278e-05,5.4004e-05,0.00502838895704729
32,10,1,BA,B,4,stage.output_alloc,1,4.228e-06,3.943e-06,0.0003846019847027017
32,10,1,BA,B,4,stage.pivot_distance,2,0.000100917,0.000100357,0.009179961799962758
32,10,1,BA,B,4,stage.pivot_sort,2,0.000200934,0.000200328,0.018278054681705926
32,10,1,BA,B,4,stage.result_sort,1,0.002295416,0.002295001,0.2088035830932679
32,10,1,BA,B,4,stage.schedule,10,0.000123307,0.000120589,0.01121667855433681
32,10,1,BA,B,4,stage.threshold,2,1.9997e-05,1.9458e-05,0.0018190363973746273
32,10,1,BA,B,5,stage.aggregate,1,1.4064e-05,1.3789e-05,0.0012897696160028274
32,10,1,BA,B,5,stage.alloc_init,1,0.002113149,0.002112617,0.19379091114098113
32,10,1,BA,B,5,stage.candidates,1,9.6144e-05,9.5858e-05,0.008817093996087589
32,10,1,BA,B,5,stage.cleanup,1,0.001549647,0.001549185,0.14211373834826033
32,10,1,BA,B,5,stage.delivery,1,4.0537e-05,4.0245e-05,0.0037175334843505842
