run,scope,kernel,function,calls,gpu_ms,blocks,threads,registers
nsys_direct_insert,index.total,getPivotDis,"getPivotDis(float *, char *, int *, TN *, int *, double *, int *, int, int *, int *)",2,2.466134,"[1, 10]",[512],[39]
nsys_direct_insert,index.total,initIndexData,"initIndexData(int *, TN *, int *, int *, int *)",1,0.489278,[4],[512],[16]
nsys_direct_insert,index.total,nodeSplit,"nodeSplit(TN *, int *, double *, int *, int, int *, float *, int *, int *, char *, int *, float *)",2,1.9931770000000002,"[1, 10]",[512],[40]
nsys_direct_insert,op.query,mergeTotalResult,"mergeTotalResult(int, int *, int *, int *, float *, Object, float *, int *, int)",1,0.074559,[1],[512],[34]
nsys_direct_insert,thrust::inclusive_scan,DeviceScanInitKernel,"void cub::CUB_300104_SM_1200::detail::scan::DeviceScanInitKernel<cub::CUB_300104_SM_1200::ScanTileState<int, (bool)1>>(T1, int)",1,0.000864,[1],[128],[16]
nsys_direct_insert,thrust::inclusive_scan,DeviceScanKernel,"void cub::CUB_300104_SM_1200::detail::scan::DeviceScanKernel<cub::CUB_300104_SM_1200::detail::scan::policy_hub<int, int, int, unsigned int, cuda::std::__4::plus<void>>::Policy1000, int *, int *, cub::CUB_300104_SM_1200::ScanTileState<int, (bool)1>, cuda::std::__4::plus<void>, cub::CUB_300104_SM_1200::NullType, unsigned int, int, (bool)0, cub::CUB_300104_SM_1200::NullType>(T2, T3, T4, int, T5, T6, T7)",1,0.002688,[1],[384],[64]
nsys_direct_insert,update.query,collectLeafNodesSingleQuery,"collectLeafNodesSingleQuery(int *, int *, int *, int *, int *, int, int *)",1,0.995356,[1],[512],[28]
nsys_direct_insert,update.query,compactResultSingleQuery,"compactResultSingleQuery(int, int *, int *, float *, int *, int *, float *)",1,0.076831,[4],[512],[26]
nsys_direct_insert,update.query,findNextRnn,"findNextRnn(int *, int, TN *, float, float *, int *, int, int *, int *, int *, char *, int *, int, float *, int *)",2,1.0812119999999998,[1],[512],[40]
nsys_direct_insert,update.query,initQnode,"initQnode(int *, int, int *)",1,0.871677,[1],[512],[17]
nsys_direct_insert,update.query,initRes,"initRes(int *, int)",1,0.000896,[4],[512],[16]
nsys_direct_insert,update.query,leafProcessRnnUpdate,"leafProcessRnnUpdate(int *, TN *, int *, int *, float *, int *, int *, float *, int *, float, int *, int *, char *, int *, int *)",1,0.213567,[77],[512],[40]
nsys_direct_insert,update.query,updatePnodeFlag,"updatePnodeFlag(int *, int, int, int *, int *)",2,0.0026880000000000003,[1],[512],[20]
nsys_query_only,cub::DeviceRadixSort,DeviceRadixSortSingleTileKernel,"void cub::CUB_300104_SM_1200::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::CUB_300104_SM_1200::detail::radix::policy_hub<double, int, unsigned long long>::Policy1000, (cub::CUB_300104_SM_1200::SortOrder)0, double, int, unsigned long long, cub::CUB_300104_SM_1200::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)",2,0.037344,[1],[256],[123]
