q,radius,pair,order,variant,sample,stage,calls,wall_s,thread_cpu_s,wall_fraction
32,300,1,BA,B,2,stage.schedule,10,0.000113607,0.000110828,0.04573994497855871
32,300,1,BA,B,3,stage.aggregate,1,7.64e-05,7.612e-05,0.030334541553358813
32,300,1,BA,B,3,stage.alloc_init,1,0.000659011,0.000658524,0.2616596408850857
32,300,1,BA,B,3,stage.candidates,1,8.8893e-05,8.8611e-05,0.03529487437569012
32,300,1,BA,B,3,stage.cleanup,1,0.00021944,0.000219134,0.08712842668153217
32,300,1,BA,B,3,stage.delivery,1,2.0369e-05,2.0092e-05,0.0080874905353451
32,300,1,BA,B,3,stage.leaf_distance,1,0.000992268,0.000991992,0.3939789905506314
32,300,1,BA,B,3,stage.node_distance_prune,4,0.000339079,0.000337955,0.13463096878758316
32,300,1,BA,B,3,stage.schedule,10,0.000119844,0.000117111,0.04758393714555934
32,300,1,BA,B,4,stage.aggregate,1,7.4511e-05,7.4245e-05,0.029982785581093276
32,300,1,BA,B,4,stage.alloc_init,1,0.000662384,0.000662108,0.26653940283108385
32,300,1,BA,B,4,stage.candidates,1,7.7898e-05,7.7615e-05,0.031345694343063495
32,300,1,BA,B,4,stage.cleanup,1,0.000219494,0.000219222,0.08832308703864514
32,300,1,BA,B,4,stage.delivery,1,2.2627e-05,2.2348e-05,0.009104970935075325
32,300,1,BA,B,4,stage.leaf_distance,1,0.000975856,0.000975597,0.3926786810809593
32,300,1,BA,B,4,stage.node_distance_prune,4,0.000331135,0.000330048,0.13324676495276297
32,300,1,BA,B,4,stage.schedule,10,0.000118041,0.000115224,0.04749900005070166
32,300,1,BA,B,5,stage.aggregate,1,7.5446e-05,7.5158e-05,0.030303602363525136
32,300,1,BA,B,5,stage.alloc_init,1,0.000659105,0.000658783,0.2647357823583919
32,300,1,BA,B,5,stage.candidates,1,7.7729e-05,7.7453e-05,0.031220590993749776
32,300,1,BA,B,5,stage.cleanup,1,0.000219137,0.000218825,0.08801845705717742
32,300,1,BA,B,5,stage.delivery,1,2.1093e-05,2.0817e-05,0.008472203757042596
32,300,1,BA,B,5,stage.leaf_distance,1,0.000979133,0.000978881,0.3932780676643621
32,300,1,BA,B,5,stage.node_distance_prune,4,0.000335671,0.000334369,0.13482544480776776
32,300,1,BA,B,5,stage.schedule,10,0.000119022,0.000116187,0.047806316577571895
32,300,1,BA,B,6,stage.aggregate,1,7.6081e-05,7.5771e-05,0.030397527955928958
32,300,1,BA,B,6,stage.alloc_init,1,0.000659308,0.000658572,0.263421003424871
32,300,1,BA,B,6,stage.candidates,1,7.9915e-05,7.9634e-05,0.031929370626017826
32,300,1,BA,B,6,stage.cleanup,1,0.00021883,0.000218559,0.08743169835564639
32,300,1,BA,B,6,stage.delivery,1,2.1403e-05,2.1123e-05,0.008551389845569163
32,300,1,BA,B,6,stage.leaf_distance,1,0.000984043,0.00098378,0.39316615978149866
32,300,1,BA,B,6,stage.node_distance_prune,4,0.000341619,0.000340311,0.13649101750471856
32,300,1,BA,B,6,stage.schedule,10,0.00011856,0.000115753,0.047369657528882864
32,300,1,BA,B,7,stage.aggregate,1,7.5192e-05,7.4895e-05,0.030110801116620883
